Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,1,4,8880.0,1
10000,1,4,8880.0,3
11000,1,4,8880.0,3
12000,1,4,8880.0,3
13000,1,4,8880.0,3
14000,1,4,8992.0,3
15000,1,4,8880.0,3
16000,1,4,9104.0,3
17000,1,4,8880.0,3
18000,1,4,8880.0,3
19000,1,4,8880.0,3
20000,1,4,8880.0,3
21000,1,4,8880.0,3
22000,1,4,8880.0,3
23000,1,4,8880.0,3
24000,1,4,8880.0,3
25000,1,4,8880.0,3
30000,1,4,8880.0,3
35000,1,4,8880.0,3
40000,1,4,8880.0,3
45000,1,4,8880.0,3
50000,1,4,8880.0,3
60000,1,4,8976.0,3
70000,1,4,8880.0,3
80000,1,4,8880.0,3
90000,1,4,8960.0,3
100000,1,4,8880.0,3
200000,1,4,8976.0,3
300000,1,4,8880.0,3
400000,1,4,8880.0,3
500000,1,4,9120.0,3
600000,1,4,8912.0,3
700000,1,4,9024.0,3
800000,1,4,8944.0,3
900000,1,4,8976.0,3
1000000,1,4,8880.0,3
